vid,wer,survival,chars
d52_watermark_C2_clean,0.1031,0.357,715
d52_whiteonwhite_C3_clean,0.1031,0.4,715
d52_microfont_C4_clean,0.1546,0.523,756
d53_body_C6_clean,0.1579,1.0,990
d53_footer_C1_clean,0.188,1.0,1008
d53_margin_C2_clean,0.2256,0.4,1034
d53_watermark_C3_clean,0.1278,0.4,959
d53_whiteonwhite_C4_clean,0.1579,0.449,960
d53_microfont_C5_clean,0.1504,0.5,973
d54_body_C1_clean,0.1925,1.0,1374
d54_footer_C2_clean,0.2086,1.0,1402
d54_margin_C3_clean,0.1979,0.4,1379
d54_watermark_C4_clean,0.1551,0.411,1325
d54_whiteonwhite_C5_clean,0.1551,0.5,1325
d54_microfont_C6_clean,0.139,0.407,1334
d55_body_C2_clean,0.2712,1.0,996
d55_footer_C3_clean,0.2627,1.0,975
d55_margin_C4_clean,0.2712,0.411,979
d55_watermark_C5_clean,0.1864,0.5,919
d55_whiteonwhite_C6_clean,0.2034,0.407,919
d55_microfont_C1_clean,0.2373,0.511,959
d56_body_C3_clean,0.1856,1.0,809
d56_footer_C4_clean,0.2474,1.0,808
d56_margin_C5_clean,0.1856,0.5,776
d56_watermark_C6_clean,0.1443,0.373,751
d56_whiteonwhite_C1_clean,0.1237,0.356,753
d56_microfont_C2_clean,0.1959,0.757,821
d57_body_C4_clean,0.1885,1.0,976
d57_footer_C5_clean,0.1639,1.0,942
d57_margin_C6_clean,0.1885,0.407,948
d57_watermark_C1_clean,0.1311,0.444,918
d57_whiteonwhite_C2_clean,0.1311,0.471,919
d57_microfont_C3_clean,0.1393,0.419,958
d58_body_C5_clean,0.1622,1.0,1395
d58_footer_C6_clean,0.1676,1.0,1401
d58_margin_C1_clean,0.1459,0.444,1424
d58_watermark_C2_clean,0.1405,0.486,1371
d58_whiteonwhite_C3_clean,0.1351,0.438,1372
d58_microfont_C4_clean,0.1568,0.449,1371
d59_body_C6_clean,0.2417,1.0,964
d59_footer_C1_clean,0.2667,1.0,983
d59_margin_C2_clean,0.2917,0.386,1008
d59_watermark_C3_clean,0.2,0.381,934
d59_whiteonwhite_C4_clean,0.2167,0.449,934
d59_microfont_C5_clean,0.2083,0.5,950
d00_body_C1_noise,0.4227,0.867,811
d00_body_C1_rotate,0.2474,1.0,805
d00_body_C1_lowdpi,0.4227,1.0,750
d00_footer_C2_noise,0.701,0.932,919
d00_footer_C2_rotate,0.2371,1.0,828
d00_footer_C2_lowdpi,0.4639,1.0,779
d00_whiteonwhite_C5_noise,0.5464,0.5,834
d00_whiteonwhite_C5_rotate,0.1856,0.458,754
d00_whiteonwhite_C5_lowdpi,0.4124,0.417,705
d05_body_C6_noise,0.4274,1.0,1005
d05_body_C6_rotate,0.2016,1.0,986
d05_body_C6_lowdpi,0.1855,1.0,985
d05_footer_C1_noise,0.3952,0.951,1018
d05_footer_C1_rotate,0.2258,1.0,1004
d05_footer_C1_lowdpi,0.2097,1.0,1004
d05_whiteonwhite_C4_noise,0.3548,0.355,962
d05_whiteonwhite_C4_rotate,0.1774,0.393,956
d05_whiteonwhite_C4_lowdpi,0.1613,0.393,955
d10_body_C5_noise,0.3407,0.875,1407
d10_body_C5_rotate,0.2033,1.0,1379
d10_body_C5_lowdpi,0.1703,1.0,1381
d10_footer_C6_noise,0.2802,0.909,1404
d10_footer_C6_rotate,0.1923,1.0,1387
d10_footer_C6_lowdpi,0.1758,1.0,1387
d10_whiteonwhite_C3_noise,0.2747,0.381,1387
d10_whiteonwhite_C3_rotate,0.1813,0.4,1355
d10_whiteonwhite_C3_lowdpi,0.1484,0.4,1357
d15_body_C4_noise,0.3866,0.897,1039
d15_body_C4_rotate,0.3109,1.0,1020
d15_body_C4_lowdpi,0.2857,1.0,1021
d15_footer_C5_noise,0.3193,0.909,1001
d15_footer_C5_rotate,0.2437,1.0,988
d15_footer_C5_lowdpi,0.2689,1.0,990
d15_whiteonwhite_C2_noise,0.4034,0.371,982
d15_whiteonwhite_C2_rotate,0.2437,0.429,963
d15_whiteonwhite_C2_lowdpi,0.2269,0.429,964
d20_body_C3_noise,0.3474,0.895,805
d20_body_C3_rotate,0.3263,1.0,775
d20_body_C3_lowdpi,0.3368,1.0,755
d20_footer_C4_noise,0.4842,0.865,817
d20_footer_C4_rotate,0.3684,1.0,776
d20_footer_C4_lowdpi,0.4,1.0,715
d20_whiteonwhite_C1_noise,0.4737,0.378,783
d20_whiteonwhite_C1_rotate,0.2632,0.378,719
d20_whiteonwhite_C1_lowdpi,0.2526,0.378,661
d25_body_C2_noise,0.3902,0.9,1049
d25_body_C2_rotate,0.2114,1.0,1045
d25_body_C2_lowdpi,0.2276,1.0,1046
d25_footer_C3_noise,0.3252,0.931,1032
d25_footer_C3_rotate,0.2195,1.0,1023
d25_footer_C3_lowdpi,0.2195,1.0,1025
d25_whiteonwhite_C6_noise,0.3333,0.441,994
d25_whiteonwhite_C6_rotate,0.1463,0.475,968
d25_whiteonwhite_C6_lowdpi,0.1626,0.475,969
d30_body_C1_noise,0.3497,1.0,1456
d30_body_C1_rotate,0.1967,1.0,1436
d30_body_C1_lowdpi,0.1803,1.0,1434
d30_footer_C2_noise,0.3825,0.843,1499
d30_footer_C2_rotate,0.2131,1.0,1465
d30_footer_C2_lowdpi,0.1967,1.0,1462
d30_whiteonwhite_C5_noise,0.3661,0.5,1411
d30_whiteonwhite_C5_rotate,0.1585,0.5,1388
d30_whiteonwhite_C5_lowdpi,0.1421,0.5,1385
d35_body_C6_noise,0.3884,0.881,975
d35_body_C6_rotate,0.3058,1.0,951
d35_body_C6_lowdpi,0.2149,1.0,948
d35_footer_C1_noise,0.4545,0.909,994
d35_footer_C1_rotate,0.2975,1.0,970
d35_footer_C1_lowdpi,0.2479,1.0,970
d35_whiteonwhite_C4_noise,0.3884,0.43,933
d35_whiteonwhite_C4_rotate,0.1983,0.43,918
d35_whiteonwhite_C4_lowdpi,0.2314,0.43,922
d40_body_C5_noise,0.5055,0.833,763
d40_body_C5_rotate,0.3297,1.0,710
d40_body_C5_lowdpi,0.2308,1.0,718
d40_footer_C6_noise,0.6044,0.873,773
d40_footer_C6_rotate,0.3516,1.0,716
d40_footer_C6_lowdpi,0.2418,1.0,724
d40_whiteonwhite_C3_noise,0.3846,0.419,725
d40_whiteonwhite_C3_rotate,0.2857,0.419,686
d40_whiteonwhite_C3_lowdpi,0.2308,0.419,691
d45_body_C4_noise,0.3125,0.879,1045
d45_body_C4_rotate,0.2344,1.0,1025
d45_body_C4_lowdpi,0.2031,1.0,1026
d45_footer_C5_noise,0.3047,0.913,1008
d45_footer_C5_rotate,0.2031,1.0,994
d45_footer_C5_lowdpi,0.1797,1.0,995
d45_whiteonwhite_C2_noise,0.3672,0.443,993
d45_whiteonwhite_C2_rotate,0.1797,0.429,968
d45_whiteonwhite_C2_lowdpi,0.1484,0.429,969
d50_body_C3_noise,0.3141,0.895,1437
d50_body_C3_rotate,0.1937,1.0,1408
d50_body_C3_lowdpi,0.1885,1.0,1409
d50_footer_C4_noise,0.3822,0.804,1437
d50_footer_C4_rotate,0.2094,1.0,1409
d50_footer_C4_lowdpi,0.1885,1.0,1410
d50_whiteonwhite_C1_noise,0.267,0.4,1374
d50_whiteonwhite_C1_rotate,0.1571,0.4,1352
d50_whiteonwhite_C1_lowdpi,0.1414,0.4,1354
d55_body_C2_noise,0.3983,0.886,1007
d55_body_C2_rotate,0.3051,1.0,994
d55_body_C2_lowdpi,0.2712,1.0,996
d55_footer_C3_noise,0.3898,0.958,994
d55_footer_C3_rotate,0.2712,1.0,976
d55_footer_C3_lowdpi,0.3136,1.0,978
